WormBase Gene ID	Public Name	Biotype	Expr_pattern Tissue	Genomic Study Tissue	Putative match?
WBGene00004141	pqn-57	protein_coding_gene	"pharyngeal muscle cell, rectum"	pharynx	Yes
WBGene00004178	prg-1	protein_coding_gene	germ line	"body wall muscle cell, germ line, germline precursor cell, intestine"	Yes
WBGene00004196	prx-11	protein_coding_gene	"body region, head mesodermal cell, hypodermis, intestine, rectal gland cell"	"body wall musculature, intestine, pharynx, somatic gonad precursor, Z1, Z4"	Yes
WBGene00004221	ptr-6	protein_coding_gene	"anterior hypodermis, hypodermis"	"germline precursor cell, head mesodermal cell, hypodermis, male-specific anatomical entity"	Yes
WBGene00004239	puf-3	protein_coding_gene	germ line	"germ line, germline precursor cell, Psub1, Psub3"	Yes
WBGene00004259	pyr-1	protein_coding_gene	intestine	"germ line, gon_male_dtc anterior, gon_male_dtc posterior, intestine, somatic gonad precursor, Z1.p, Z4.a"	Yes
WBGene00004297	rad-51	protein_coding_gene	gonad	"germ line, germline precursor cell, gon_male_dtc anterior, gon_male_dtc posterior, head mesodermal cell, Z1.p, Z4.a"	Yes
WBGene00004333	rec-8	protein_coding_gene	"embryonic cell, gonad, Z2, Z3"	"germ line, germline precursor cell, head mesodermal cell, hypodermis, pharyngeal muscle cell"	Yes
WBGene00004343	rgr-1	protein_coding_gene	"germ line, hypodermis, intestine, pharynx"	germ line	Yes
WBGene00004355	rha-1	protein_coding_gene	"germ line, oocyte"	germ line	Yes
WBGene00004374	rme-2	protein_coding_gene	"germ cell, germ line, gonad, oocyte"	"germ line, germline precursor cell, head mesodermal cell, pharyngeal muscle cell, Psub1"	Yes
WBGene00004726	sas-4	protein_coding_gene	"gonad, intestinal cell, sperm"	"germ line, intestine"	Yes
WBGene00004738	scc-3	protein_coding_gene	gonad	germ line	Yes
WBGene00004747	sdc-3	protein_coding_gene	"germ line, oocyte"	"germ line, gon_male_dtc anterior, gon_male_dtc posterior, Z1.p, Z4.a"	Yes
WBGene00004796	sid-2	protein_coding_gene	"Excretory duct, intestine"	"head mesodermal cell, intestine"	Yes
WBGene00004953	spd-2	protein_coding_gene	"germ line, gonad, intestinal cell"	"germ line, germline precursor cell, intestine"	Yes
WBGene00004962	spe-8	protein_coding_gene	"sperm, spermatocyte"	"germ line, male"	Yes
WBGene00004964	spe-10	protein_coding_gene	spermatid	"germ line, male"	Yes
WBGene00004966	spe-12	protein_coding_gene	"male, spermatid"	"hypodermis, male"	Yes
WBGene00004972	spe-26	protein_coding_gene	"male, spermatocyte"	"germ line, male"	Yes
WBGene00004973	spe-27	protein_coding_gene	"male, sperm, spermatocyte"	"male, male-specific anatomical entity"	Yes
WBGene00004975	spe-39	protein_coding_gene	"male, male-specific anatomical entity"	"coelomocyte, germ line"	Yes
WBGene00004976	spe-41	protein_coding_gene	"sperm, spermatid"	"germ line, germline precursor cell, male"	Yes
WBGene00006047	ssp-19	protein_coding_gene	spermatheca	"amphid sheath cell, germ line"	Yes
WBGene00006311	sun-1	protein_coding_gene	"AB, ABa, ABal, ABala, ABalaa, ABalap, ABalp, ABalpa, ABalpp, ABar, ABara, ABaraa, ABarap, ABarp, ABarpa, ABarpp, ABp, ABpl, ABpla, ABplaa, ABplap, ABplp, ABplpa, ABplpp, ABpr, ABpra, ABpraa, ABprap, ABprp, ABprpa, ABprpp, C, Ca, Caa, Cap, Cp, Cpa, Cpp, D, E, Ea, EMS, Ep, germ line, MS, MSa, MSaa, MSap, MSp, MSpa, MSpp, P0, Psub1, Psub2, Psub3, Psub4, Z2, Z3"	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00006374	syx-4	protein_coding_gene	"gonad, seam cell"	"arcade cell, germ line, germline precursor cell, head mesodermal cell, pharyngeal-intestinal valve cell"	Yes
WBGene00006375	syp-1	protein_coding_gene	"germ line, gonad"	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00006379	sys-1	protein_coding_gene	"ABplpapaap, ABprpapaap, hyp11, hyp8, P7.pa, P7.pp, posterior distal tip cell, Z1.aa"	"germ line, gon_male_dtc anterior, gon_male_dtc posterior, somatic gonad precursor, Z1.p, Z4.a"	Yes
WBGene00006408	tag-18	protein_coding_gene	"anal depressor muscle, body wall musculature, reproductive system, vulval muscle"	"body wall muscle cell, body wall musculature, germ line, intestine, muscle cell"	Yes
WBGene00006454	aex-4	protein_coding_gene	intestine	"head mesodermal cell, intestine"	Yes
WBGene00006464	bath-47	protein_coding_gene	"head, intestine"	"head mesodermal cell, intestine"	Yes
WBGene00006489	zhit-3	protein_coding_gene	"germ line, hypodermis"	"germ line, germline precursor cell, hypodermis, intestine"	Yes
WBGene00006540	tbg-1	protein_coding_gene	gonad	"germ line, germline precursor cell, somatic gonad precursor"	Yes
WBGene00006542	tbp-1	protein_coding_gene	gonad	"germ line, somatic gonad precursor"	Yes
WBGene00006587	tnt-2	protein_coding_gene	"anal depressor muscle, body wall musculature, mu_int_L, mu_int_R, reproductive system, vulval muscle"	"body wall muscle cell, body wall musculature, muscle cell"	Yes
WBGene00006596	top-3	protein_coding_gene	gonad	"germ line, germline precursor cell, somatic gonad precursor"	Yes
WBGene00006619	try-1	protein_coding_gene	germ line	germ line	Yes
WBGene00006672	twk-18	protein_coding_gene	body wall musculature	"body wall muscle cell, body wall musculature, head mesodermal cell, muscle cell"	Yes
WBGene00006688	twk-36	protein_coding_gene	excretory cell	excretory cell	Yes
WBGene00006754	unc-15	protein_coding_gene	"anal depressor muscle, anal sphincter muscle, anterior oblique muscle, body wall musculature, copulatory spicule, diagonal muscle, gonad, gubernacular erector muscle, gubernacular retractor muscle, intestinal muscle, longitudinal male muscle, male, pharyngeal muscle cell, posterior oblique muscle, spicule protractor muscle, spicule retractor muscle, vulval muscle"	"body wall muscle cell, body wall musculature, muscle cell"	Yes
WBGene00006764	unc-27	protein_coding_gene	"anal depressor muscle, anal sphincter muscle, anterior gonadal sheath cell, body wall musculature, diagonal muscle, head muscle, longitudinal male muscle, pharyngeal muscle cell, rectal muscle, vulval muscle"	"body wall muscle cell, body wall musculature, muscle cell"	Yes
WBGene00006822	unc-93	protein_coding_gene	"body wall musculature, intestinal muscle, SIADL, SIADR, SIAVL, SIAVR, vulval muscle"	"body wall muscle cell, head mesodermal cell, muscle cell"	Yes
WBGene00006856	usp-14	protein_coding_gene	germ line	"germ line, germline precursor cell"	Yes
WBGene00006886	vap-1	protein_coding_gene	amphid sheath cell	amphid sheath cell	Yes
WBGene00006916	vha-7	protein_coding_gene	"gonad, hypodermis, oocyte, spermatheca, uterus"	"germ line, germline precursor cell, hypodermis, Psub1"	Yes
WBGene00006944	wrn-1	protein_coding_gene	"germ line, hypodermis, intestinal cell"	"germ line, germline precursor cell"	Yes
WBGene00006955	wrt-9	protein_coding_gene	hypodermis	"germline precursor cell, hypodermis"	Yes
WBGene00007024	plin-1	protein_coding_gene	"germ line, hypodermal cell, intestinal cell"	"germ line, germline precursor cell, muscle cell, somatic gonad precursor"	Yes
WBGene00007117	spe-42	protein_coding_gene	sperm	"germ line, male"	Yes
WBGene00007228	acs-7	protein_coding_gene	intestinal cell	"head mesodermal cell, intestine, Psub1"	Yes
WBGene00007262	jud-4	protein_coding_gene	"hypodermis, vulval muscle"	"hypodermis, somatic gonad precursor, Z1, Z4"	Yes
WBGene00007270	rei-1	protein_coding_gene	germ line	"germ line, germline precursor cell, somatic gonad precursor"	Yes
WBGene00007307	spch-1	protein_coding_gene	sperm	"amphid sheath cell, germ line, male, somatic gonad precursor"	Yes
WBGene00007332	C05C10.5	protein_coding_gene	germ line	"germ line, germline precursor cell"	Yes
WBGene00007443	pfd-1	protein_coding_gene	"body wall musculature, excretory cell, head muscle, intestine, pharyngeal muscle cell, pharynx, vulval muscle"	"body wall musculature, germ line, intestine"	Yes
WBGene00007615	set-31	protein_coding_gene	"germ line, hypodermis"	"arcade cell, body wall muscle cell, germ line, pharyngeal-intestinal valve cell"	Yes
WBGene00007624	hrde-1	protein_coding_gene	"germ cell, germ line"	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00007640	pcmd-1	protein_coding_gene	germ line	"germ line, somatic gonad precursor"	Yes
WBGene00007680	maa-1	protein_coding_gene	"hypodermis, intestine"	"intestine, muscle cell, pharyngeal muscle cell, somatic gonad precursor"	Yes
WBGene00007732	spe-44	protein_coding_gene	"germ line, hermaphrodite, male, sperm"	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00007733	smz-1	protein_coding_gene	"male gonad, sperm"	"germ line, hypodermis, male"	Yes
WBGene00007773	C27C12.3	protein_coding_gene	germ line	"germ line, germline precursor cell, hermaphrodite-specific anatomical entity, muscle cell"	Yes
WBGene00007784	ruvb-1	protein_coding_gene	"gonad, pharyngeal cell"	"germ line, somatic gonad precursor"	Yes
WBGene00007917	chdh-1	protein_coding_gene	gonad	"body wall muscle cell, germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00007975	gls-1	protein_coding_gene	germ line	"CEPshDL, CEPshDR, CEPshVL, CEPshVR, germ line"	Yes
WBGene00008062	set-32	protein_coding_gene	germ line	"germ line, germline precursor cell, gon_male_dtc anterior, gon_male_dtc posterior, head mesodermal cell, hermaphrodite-specific anatomical entity, Z1.p, Z4.a"	Yes
WBGene00008085	smcl-1	protein_coding_gene	germ line	germ line	Yes
WBGene00008127	ddo-1	protein_coding_gene	"head, hypodermis, intestinal cell"	intestine	Yes
WBGene00008145	set-5	protein_coding_gene	germ line	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00008220	C50B6.7	protein_coding_gene	intestine	"head mesodermal cell, intestine"	Yes
WBGene00008412	D2030.2	protein_coding_gene	"intestine, rectal gland cell"	"head mesodermal cell, intestine"	Yes
WBGene00008426	D2045.9	protein_coding_gene	"anal depressor muscle, anal sphincter muscle, anterior distal tip cell, body wall musculature, mu_int_L, mu_int_R, posterior distal tip cell, reproductive system, vulva, vulval muscle"	"body wall muscle cell, head mesodermal cell"	Yes
WBGene00008491	bgnt-1.1	protein_coding_gene	"amphid sheath cell, phasmid sheath cell"	"amphid sheath cell, somatic gonad precursor"	Yes
WBGene00008547	F07A11.4	protein_coding_gene	"body wall musculature, pharynx, reproductive system, vulval muscle"	"body wall muscle cell, head mesodermal cell, intestine"	Yes
WBGene00008567	acox-1.4	protein_coding_gene	intestine	"hermaphrodite-specific anatomical entity, intestine"	Yes
WBGene00008580	dsb-1	protein_coding_gene	gonad	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00008603	F09B9.4	protein_coding_gene	body wall musculature	"body wall muscle cell, head mesodermal cell, muscle cell"	Yes
WBGene00008605	mlt-9	protein_coding_gene	hypodermis	"germline precursor cell, hypodermis"	Yes
WBGene00008654	pfas-1	protein_coding_gene	intestinal cell	intestine	Yes
WBGene00008694	vwa-8	protein_coding_gene	"hypodermal cell, intestinal cell, intestine, muscle cell, pharynx"	"germ line, intestine"	Yes
WBGene00008781	rpoa-2	protein_coding_gene	"Cell, intestine, pharynx, rectal gland cell"	"germ line, hermaphrodite-specific anatomical entity, intestine, somatic gonad precursor"	Yes
WBGene00008806	mboa-7	protein_coding_gene	"anterior distal tip cell, body wall musculature, intestine, pharyngeal muscle cell, posterior distal tip cell, spermatheca, vulva"	"coelomocyte, intestine"	Yes
WBGene00009187	F27D4.1	protein_coding_gene	intestine	"intestine, muscle cell"	Yes
WBGene00009189	F27D4.4	protein_coding_gene	"hypodermis, intestine"	"germ line, intestine"	Yes
WBGene00009211	wdr-46	protein_coding_gene	"body wall musculature, germ line, head, hypodermis, intestine"	"body wall muscle cell, germ line, intestine"	Yes
WBGene00009397	clec-66	protein_coding_gene	intestine	intestine	Yes
WBGene00009445	F35G12.12	protein_coding_gene	intestine	"germ line, intestine"	Yes
WBGene00009470	F36D3.4	protein_coding_gene	spermatheca	"body wall muscle cell, germ line, hypodermis, male"	Yes
WBGene00009493	hrg-4	protein_coding_gene	intestine	"intestine, muscle cell, somatic gonad precursor"	Yes
WBGene00009606	F40G12.11	protein_coding_gene	germ line	"AB, germ line, hermaphrodite-specific anatomical entity, hypodermis, pharyngeal muscle cell, Psub2"	Yes
WBGene00009895	scl-2	protein_coding_gene	intestinal cell	"excretory cell, head mesodermal cell, intestine, male-specific anatomical entity, pharyngeal muscle cell"	Yes
WBGene00009946	ogr-2	protein_coding_gene	gonad	"germ line, germline precursor cell, hypodermis"	Yes
WBGene00009973	F53C11.3	protein_coding_gene	intestine	"coelomocyte, germ line, intestine, muscle cell, somatic gonad precursor"	Yes
WBGene00010062	lipl-1	protein_coding_gene	intestine	intestine	Yes
WBGene00010123	F55G11.2	protein_coding_gene	intestine	intestine	Yes
WBGene00010124	F55G11.4	protein_coding_gene	intestine	intestine	Yes
WBGene00010135	F55H12.4	protein_coding_gene	"anus, hypodermis, pharynx, vulva"	hypodermis	Yes
WBGene00010184	F57A10.2	protein_coding_gene	germ line	germ line	Yes
WBGene00010228	clec-161	protein_coding_gene	"germ line, vas deferens"	"germ line, male, male-specific anatomical entity"	Yes
WBGene00010256	hrg-3	protein_coding_gene	intestinal cell	"head mesodermal cell, intestine"	Yes
WBGene00010266	dct-18	protein_coding_gene	intestine	"head mesodermal cell, intestine, pharyngeal muscle cell"	Yes
WBGene00010340	slcf-1	protein_coding_gene	intestine	"head mesodermal cell, intestine"	Yes
WBGene00010492	meg-1	protein_coding_gene	"germ line, germline blastomere, oocyte, Psub2, Psub3, Psub4"	"germ line, germline precursor cell"	Yes
WBGene00010537	mys-2	protein_coding_gene	germ line	germ line	Yes
WBGene00010593	gsnl-1	protein_coding_gene	"anal depressor muscle, body wall musculature, hypodermis, mu_int_L, mu_int_R, reproductive system, vulval muscle"	"body wall muscle cell, muscle cell"	Yes
WBGene00010609	dut-1	protein_coding_gene	intestine	"cephalic sheath cell, germ line, germline precursor cell, head mesodermal cell, hypodermis, intestine, pharyngeal muscle cell"	Yes
WBGene00010651	K08C9.2	protein_coding_gene	spermatheca	"germ line, male"	Yes
WBGene00010663	toca-2	protein_coding_gene	"spermatheca, uterus"	"germ line, germline precursor cell, muscle cell"	Yes
WBGene00010665	rml-1	protein_coding_gene	"body wall musculature, hypodermis, intestine"	"body wall musculature, germ line, germline precursor cell, head mesodermal cell, intestine, muscle cell, pharynx"	Yes
WBGene00010675	K08E7.8	protein_coding_gene	"anal depressor muscle, body wall musculature, pharynx, reproductive system, vulval muscle"	"body wall muscle cell, intestine, muscle cell, somatic gonad precursor"	Yes
WBGene00010706	cyp-14A2	protein_coding_gene	intestine	intestine	Yes
WBGene00010734	parn-1	protein_coding_gene	germ line	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00010745	dod-17	protein_coding_gene	intestine	"head mesodermal cell, intestine, pharynx"	Yes
WBGene00010785	top-2	protein_coding_gene	germ line	germ line	Yes
WBGene00010809	lias-1	protein_coding_gene	"body wall musculature, excretory cell, intestine, pharynx, reproductive system, vulval muscle"	"anal depressor muscle, body wall musculature, germ line, intestine, muscle cell, pharynx, somatic gonad precursor, vulval muscle"	Yes
WBGene00010943	M176.4	protein_coding_gene	"arcade cell, intestine"	intestine	Yes
WBGene00011003	R04B5.5	protein_coding_gene	"body wall musculature, intestine"	"hypodermis, intestine, male-specific anatomical entity, muscle cell, somatic gonad precursor"	Yes
WBGene00011104	cut-5	protein_coding_gene	seam cell	hypodermis	Yes
WBGene00011182	R09H10.5	protein_coding_gene	intestine	"coelomocyte, head mesodermal cell, intestine"	Yes
WBGene00011232	pck-2	protein_coding_gene	"body wall musculature, Cell, hermaphrodite, hypodermis, intestine, male, muscle cell, muscle of the reproductive system, pharyngeal muscle cell, pharynx, reproductive system, spermatheca, vulval muscle"	"intestine, muscle cell"	Yes
WBGene00011235	suro-1	protein_coding_gene	"hypodermis, intestine"	"body wall musculature, germline precursor cell, hypodermis, intestine, somatic gonad precursor"	Yes
WBGene00011323	mut-15	protein_coding_gene	germ line	"germ line, germline precursor cell"	Yes
WBGene00011376	gla-3	protein_coding_gene	"germ line, muscle cell, somatic cell"	"germ line, germline precursor cell, head mesodermal cell, intestine, pharynx"	Yes
WBGene00011448	tag-348	pseudogene	"body wall musculature, vulval muscle"	"body wall muscle cell, muscle cell"	Yes
WBGene00011489	T05F1.2	protein_coding_gene	germ line	"germ line, hermaphrodite-specific anatomical entity"	Yes
WBGene00011501	rmd-1	protein_coding_gene	"germ line, gonadal sheath cell"	"germ line, germline precursor cell, intestine, somatic gonad precursor"	Yes
WBGene00011505	pzf-1	protein_coding_gene	gonad	"EMS, germ line, germline precursor cell, hermaphrodite-specific anatomical entity"	Yes
WBGene00011583	T07D10.3	protein_coding_gene	seam cell	hypodermis	Yes
WBGene00011736	T12D8.9	protein_coding_gene	"anal depressor muscle, anal sphincter muscle, body wall musculature, intestinal muscle, pharyngeal muscle cell, vulval muscle"	"body wall muscle cell, body wall musculature, germ line, muscle cell"	Yes
WBGene00011831	T19B10.2	protein_coding_gene	hypodermis	"germline precursor cell, hypodermis, intestine"	Yes
WBGene00011832	bgal-1	protein_coding_gene	head mesodermal cell	"body wall musculature, head mesodermal cell, muscle cell"	Yes
WBGene00011938	alh-13	protein_coding_gene	intestine	"germ line, intestine, somatic gonad precursor"	Yes
WBGene00011945	alg-5	protein_coding_gene	germ line	"germ line, germline precursor cell"	Yes
WBGene00012186	mlt-11	protein_coding_gene	hypodermis	"hypodermis, male-specific anatomical entity"	Yes
WBGene00012259	sulp-7	protein_coding_gene	"body wall musculature, hypodermis, intestine, pharyngeal muscle cell, vulval muscle"	"head mesodermal cell, intestine"	Yes
WBGene00012316	ctps-1	protein_coding_gene	"germ line, intestine"	intestine	Yes
WBGene00012344	ola-1	protein_coding_gene	"anal depressor muscle, hypodermis, intestine"	"body wall muscle cell, germ line, hypodermis, intestine, somatic gonad precursor"	Yes
WBGene00012387	Y6B3B.1	protein_coding_gene	"coelomocyte, hypodermis"	"coelomocyte, germline precursor cell, gon_male_dtc anterior, gon_male_dtc posterior, male-specific anatomical entity, somatic gonad precursor, Z1, Z1.p, Z4, Z4.a"	Yes
WBGene00012559	epg-3	protein_coding_gene	"body wall musculature, intestine, pharyngeal muscle cell, pharynx"	pharyngeal muscle cell	Yes
WBGene00012650	orc-1	protein_coding_gene	germ line	"germ line, head mesodermal cell, hermaphrodite-specific anatomical entity"	Yes
WBGene00012704	mlt-3	protein_coding_gene	"hyp7 syncytium, hypodermis"	"germline precursor cell, hypodermis, intestine"	Yes
WBGene00012756	Y41C4A.9	protein_coding_gene	"body wall musculature, intestine, pharynx, rectal gland cell"	"body wall muscle cell, germ line, germline precursor cell"	Yes
WBGene00012767	fcd-2	protein_coding_gene	germ line	"C, germ line, gon_male_dtc anterior, gon_male_dtc posterior, intestine, Z1.p, Z4.a"	Yes
WBGene00012845	set-24	protein_coding_gene	germ line	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00013189	Y54E2A.4	protein_coding_gene	"reproductive system, vulva"	germ line	Yes
WBGene00013352	lon-8	protein_coding_gene	"hyp4, hyp7 syncytium, intestine"	"germline precursor cell, hypodermis"	Yes
WBGene00013457	paqr-3	protein_coding_gene	"excretory duct cell, gonadal sheath cell, hypodermis, rectal gland cell, vulva"	"germline precursor cell, hypodermis"	Yes
WBGene00013462	micu-1	protein_coding_gene	"germ cell, hypodermal cell, muscle cell, PLML, PLMR"	"germ line, head mesodermal cell"	Yes
WBGene00013499	Y70G10A.3	protein_coding_gene	"excretory cell, hypodermis"	hypodermis	Yes
WBGene00013541	lonp-2	protein_coding_gene	intestine	"head mesodermal cell, hypodermis, intestine, pharyngeal muscle cell"	Yes
WBGene00013575	acs-5	protein_coding_gene	"hypodermis, intestine"	intestine	Yes
WBGene00013577	Y76A2B.5	protein_coding_gene	"body wall musculature, gonad, vulva"	"intestine, muscle cell"	Yes
WBGene00013716	Y106G6H.1	protein_coding_gene	intestine	"head mesodermal cell, intestine"	Yes
WBGene00013996	ZK550.2	protein_coding_gene	"excretory cell, intestine"	intestine	Yes
WBGene00014117	clec-91	protein_coding_gene	germ line	"cephalic sheath cell, germ line, germline precursor cell, Psub3"	Yes
WBGene00014240	htas-1	protein_coding_gene	"sperm, spermatid"	"germ line, male"	Yes
WBGene00015028	B0207.5	protein_coding_gene	vas deferens valve cell	"germ line, male"	Yes
WBGene00015083	egg-1	protein_coding_gene	germ line	"cephalic sheath cell, EMS, germ line, germline precursor cell, hypodermis, Psub1"	Yes
WBGene00015235	cdc-26	protein_coding_gene	germ line	"germ line, somatic gonad precursor"	Yes
WBGene00015258	B0554.5	protein_coding_gene	excretory cell	excretory cell	Yes
WBGene00015450	C04F5.8	protein_coding_gene	"hypodermis, intestine, pharynx"	"body wall muscle cell, germ line, intestine"	Yes
WBGene00015565	C07D8.6	protein_coding_gene	germ line	"germ line, intestine, Psub1, somatic gonad precursor"	Yes
WBGene00015684	C10G8.8	protein_coding_gene	"anal depressor muscle, body wall musculature, excretory cell, hypodermis, intestine, pharynx, rectal epithelium, reproductive system, tail, uterine muscle, vulva, vulval muscle"	"body wall muscle cell, body wall musculature, head mesodermal cell, intestine, muscle cell, pharynx"	Yes
WBGene00015689	spch-2	protein_coding_gene	sperm	"amphid sheath cell, germ line, male, somatic gonad precursor"	Yes
WBGene00015802	kynu-1	protein_coding_gene	"E lineage cell, hypodermal cell"	"body wall muscle cell, head mesodermal cell, hypodermis, muscle cell"	Yes
WBGene00015899	C17E7.4	protein_coding_gene	germ line	"germ line, germline precursor cell, hypodermis, pharyngeal muscle cell"	Yes
WBGene00015912	fbxc-50	protein_coding_gene	germ line	"germ line, pharyngeal muscle cell, somatic gonad precursor, Z1, Z4"	Yes
WBGene00015936	C17H12.11	protein_coding_gene	"body wall musculature, reproductive system, spermatheca, vulval muscle"	"body wall muscle cell, hypodermis, muscle cell"	Yes
WBGene00015954	C18B2.3	protein_coding_gene	"anal depressor muscle, body wall musculature, vulval muscle"	"body wall muscle cell, germ line, muscle cell"	Yes
WBGene00016020	sptl-1	protein_coding_gene	"head, intestine"	intestine	Yes
WBGene00016204	gsto-1	protein_coding_gene	intestine	"head mesodermal cell, intestine"	Yes
WBGene00016210	C29F5.1	protein_coding_gene	"anal depressor muscle, anal sphincter muscle, body wall musculature, vulval muscle"	"body wall muscle cell, body wall musculature, germ line, muscle cell"	Yes
WBGene00016236	heri-1	protein_coding_gene	"germ cell, Psub1, Psub2, Psub3, Psub4, Z2, Z3"	"germ line, germline precursor cell, head mesodermal cell"	Yes
WBGene00016283	zmp-3	protein_coding_gene	anchor cell	germ line	Yes
WBGene00016329	osr-1	protein_coding_gene	"hypodermis, intestine"	"hypodermis, intestine"	Yes
WBGene00016440	gipc-1	protein_coding_gene	"intestine, spermatid"	"germ line, intestine, male"	Yes
WBGene00016450	clec-5	protein_coding_gene	"anal depressor muscle, head, intestine, rectal gland cell"	intestine	Yes
WBGene00016592	erl-1	protein_coding_gene	gonad	"germ line, germline precursor cell, Psub3"	Yes
WBGene00016642	chil-10	protein_coding_gene	"head, intestine, rectal gland cell"	intestine	Yes
WBGene00016653	ssb-1	protein_coding_gene	"body wall musculature, head, intestine, pharynx, tail"	"body wall musculature, germ line, intestine, pharynx"	Yes
WBGene00016722	C46G7.2	protein_coding_gene	"body wall musculature, vulval muscle"	"body wall muscle cell, body wall musculature, head mesodermal cell, muscle cell"	Yes
WBGene00016728	C46H11.2	protein_coding_gene	intestine	"intestine, pharyngeal muscle cell"	Yes
WBGene00016730	C46H11.6	protein_coding_gene	"anal depressor muscle, body wall musculature, intestine, vulval muscle"	"body wall muscle cell, germ line, male"	Yes
WBGene00016732	phat-1	protein_coding_gene	"g1AL, g1AR, g1P, g2L, g2R, Pharyngeal gland cell"	"body wall musculature, pharynx"	Yes
WBGene00016769	C49C8.5	protein_coding_gene	intestine	"head mesodermal cell, intestine"	Yes
WBGene00016848	klo-1	protein_coding_gene	"excretory canal, excretory cell, intestine"	intestine	Yes
WBGene00016960	vps-33.2	protein_coding_gene	"intestine, pharynx, spermatheca"	"germ line, Psub1"	Yes
WBGene00017103	klo-2	protein_coding_gene	"hypodermis, intestine"	intestine	Yes
WBGene00017133	EEED8.2	protein_coding_gene	"hypodermis, intestine"	"hypodermis, intestine, pharyngeal muscle cell"	Yes
WBGene00017159	F01F1.2	protein_coding_gene	"body wall musculature, intestine, pm2, pm3, pm4, pm5, pm6, pm7"	"germ line, intestine"	Yes
WBGene00017169	F01F1.15	protein_coding_gene	"intestine, pharynx, rectal gland cell"	"head mesodermal cell, hypodermis, intestine"	Yes
WBGene00017263	F08F3.6	protein_coding_gene	germ line	"AB, body wall muscle cell, germ line, germline precursor cell"	Yes
WBGene00017272	F08F8.7	protein_coding_gene	intestine	"germ line, intestine"	Yes
WBGene00017273	gos-28	protein_coding_gene	"intestine, seam cell, vulva"	"germ line, intestine"	Yes
WBGene00017375	pbo-6	protein_coding_gene	body wall musculature	"body wall muscle cell, male"	Yes
WBGene00017376	F11C7.2	protein_coding_gene	"amphid sheath cell, phasmid sheath cell"	amphid sheath cell	Yes
WBGene00017490	pud-2.1	protein_coding_gene	"hypodermis, intestine"	intestine	Yes
WBGene00017498	pud-4	protein_coding_gene	"hyp7 syncytium, intestine"	"intestine, pharyngeal muscle cell"	Yes
WBGene00017499	pud-1.1	protein_coding_gene	"hypodermis, intestine"	intestine	Yes
WBGene00017501	pud-3	protein_coding_gene	"head, hyp7 syncytium, intestine, pm3, rectal gland cell"	"intestine, pharyngeal muscle cell"	Yes
WBGene00017535	atf-8	protein_coding_gene	"hypodermis, rectum, seam cell, vulva"	"amphid sheath cell, hypodermis, intestine"	Yes
WBGene00017540	F17E9.3	protein_coding_gene	seminal vesicle	"germ line, male"	Yes
WBGene00017559	mpz-3	protein_coding_gene	male gonad	"germ line, male"	Yes
WBGene00017574	pxmp-4	protein_coding_gene	"head, hypodermis, intestine"	"head mesodermal cell, intestine"	Yes
WBGene00017625	cgt-2	protein_coding_gene	"intestine, vulva"	intestine	Yes
WBGene00017843	F26G5.1	protein_coding_gene	germ line	germ line	Yes
WBGene00017990	cec-4	protein_coding_gene	"germ cell, somatic cell"	germ line	Yes
WBGene00018174	F38B6.4	protein_coding_gene	intestinal cell	"head mesodermal cell, intestine"	Yes
WBGene00018206	ugt-61	protein_coding_gene	"excretory cell, intestine, pharynx, tail"	intestine	Yes
WBGene00018237	irg-7	protein_coding_gene	intestine	"head mesodermal cell, intestine, pharyngeal muscle cell"	Yes
WBGene00018269	acs-11	protein_coding_gene	"hypodermis, intestine"	"germ line, germline precursor cell, intestine"	Yes
WBGene00018403	F44A2.3	protein_coding_gene	"AMsoL, AMsoR, Excretory duct, head, hypodermis, vulva"	hypodermis	Yes
WBGene00018636	oef-1	protein_coding_gene	"germ cell, germ line, gonad, hermaphrodite gonad, oocyte, P lineage cell"	"germ line, germline precursor cell, head mesodermal cell, hypodermis"	Yes
WBGene00018657	acl-4	protein_coding_gene	"anal depressor muscle, body wall musculature, hypodermis, intestine, pharynx, reproductive system, vulval muscle"	"body wall musculature, intestine, somatic gonad precursor"	Yes
WBGene00018718	dhcr-24	protein_coding_gene	intestine	"hypodermis, intestine"	Yes
WBGene00018731	F53A9.8	protein_coding_gene	intestine	"head mesodermal cell, intestine, pharyngeal muscle cell"	Yes
WBGene00018819	rog-1	protein_coding_gene	germ line	"body wall muscle cell, germ line, germline precursor cell, head mesodermal cell, muscle cell"	Yes
WBGene00018827	pst-2	protein_coding_gene	"hypodermis, intestine, Pharyngeal gland cell, vulva"	"germ line, hypodermis, somatic gonad precursor"	Yes
WBGene00018904	pycr-4	protein_coding_gene	"hypodermis, intestinal cell"	"germ line, intestine"	Yes
WBGene00018949	acbp-4	protein_coding_gene	intestine	"germ line, intestine, male"	Yes
